Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
China,China,2020-01-01,27,,
China,China,2020-01-02,38,,
China,China,2020-01-03,38,,
China,China,2020-01-04,38,,
China,China,2020-01-05,38,,
China,China,2020-01-06,38,,
China,China,2020-01-07,38,,
China,China,2020-01-08,38,,
China,China,2020-01-09,38,,
China,China,2020-01-10,41,1,2
China,China,2020-01-11,41,1,6
China,China,2020-01-12,41,1,7
China,China,2020-01-13,41,1,7
China,China,2020-01-14,41,1,7
China,China,2020-01-15,41,2,12
China,China,2020-01-16,45,2,15
China,China,2020-01-17,62,2,19
China,China,2020-01-18,121,3,24
China,China,2020-01-19,198,3,25
China,China,2020-01-20,291,6,25
China,China,2020-01-21,440,9,25